id_linha_fornec;sqa_linha_fornec;cd_linha_fornec;nome
1831121;490;3325;"EQUIPAMENTOS PARA AUTOMACAO"
1831122;491;3410;"TRATORES AGRICOLAS"
1831123;492;3415;"COMPONENTES PARA TRATORES AGRICOLAS"
1831124;493;3420;"EQUIPAMENTOS AGRICOLAS"
1831125;494;3425;"COMPONENTES PARA EQUIPAMENTOS AGRICOLAS"
1831126;495;3430;"ARTIGOS PARA CRIACAO E TRATAMENTO DE ANIMAIS"
1831127;496;3435;"EQUIPAMENTOS PARA CONTROLE DE PRAGAS"
1831128;497;3440;"COMPONENTES DE EQUIPAMENTOS PARA CONTROLE DE PRAGAS"
1831129;498;3445;"FERRAMENTAS, UTENSILIOS E COMPONENTES PARA JARDINAGEM E HORTICULTURA"
1831130;499;3450;"COMPONENTES DE EQUIPAMENTOS E FERRAMENTAS PARA JARDINAGEM E HORTICULTURA"
1831131;500;3455;"ARTIGOS PARA ANIMAIS"
1831132;501;3460;"FORRAGENS E RACOES"
1831133;502;3465;"ANIMAIS VIVOS"
1831134;503;3470;"SEMENTES, PLANTAS E MUDAS"
1831135;504;3475;"PLANTAS E MUDAS"
1831136;505;3480;"FERTILIZANTES E SUBSTRATOS"
1831137;506;3485;"AGENTES PARA COMBATE A PRAGAS"
1831138;507;3490;"MEDICAMENTOS VETERINARIOS"
1831139;508;3495;"INSTRUMENTOS, COMPONENTES E ARTIGOS VETERINARIOS"
1831140;509;3510;"EQUIPAMENTOS PARA MOVIMENTACAO , ESCAVACAO DE TERRA E CONSERVACAO DE ESTRADAS"
1831141;510;3515;"EQUIPAMENTOS PARA MINERACAO SONDAGEM, PERFURACAO DE ROCHA E CORRELATOS"
1831142;511;3520;"COMPONENTES P/ EQUIPAMENTOS DE MINERACAO,SONDAGEM,PERFURACAO DE ROCHA,MOVIMENTACAO,ESCAVACAO DE TERRA,CONSERVACAO DE ESTRADAS E GUINDASTES"
1831143;512;3525;"GUINDASTES, GUINDASTES ESCAVADEIRAS E COMPONENTES"
1831144;513;3530;"EQUIPAMENTOS E ARTIGOS PARA SINALIZACAO DE TRANSITO"
1831145;514;3610;"TRANSPORTADORES MECANICOS E COMPONENTES"
1831146;515;3615;"ELEVADORES E ESCADAS ROLANTES"
1831147;516;3620;"COMPONENTES PARA ELEVADORES E ESCADAS ROLANTES"
1831148;517;3625;"EQUIPAMENTOS NAO PROPULSIONADOS PARA MOVIMENTACAO DE MATERIAIS"
1831149;518;3630;"COMPONENTES PARA EQUIPAMENTOS NAO PROPULSIONADOS"
1831150;519;3635;"VEICULOS AUTOPROPULSIONADOS PARA ARMAZEM"
1831151;520;3640;"COMPONENTES PARA VEICULOS AUTOPROPULSIONADOS"
1831152;521;3710;"CABOS DE ACO, CORDOALHAS E CORRENTES"
1831153;522;3715;"COMPONENTES PARA CABOS DE ACO, CORDOALHAS E CORRENTES"
1831154;523;3720;"CABOS DE FIBRA E COMPONENTES"
1831155;524;3725;"COMPONENTES PARA CABOS DE FIBRA"
