id_material_servico;cd_material_servico;nome
329;49700596;"CILINDROS PARA UNIDADE COMPRESSORA -"
330;49700634;"MOLAS PARA COMPRESSOR -"
331;66350085;"DENSIMETRO -"
332;98150057;"VIDRO PRE-CORTADO - OBRAS -"
333;65153502;"COMPONENTE PARA PROTESES -"
334;56100272;"ARGAMASSA -"
335;25100025;"MACANETA USO VEICULAR -"
336;68108443;"ACETATO DE N-BUTILA -"
337;75300877;"PAPEL CELOFANE -"
338;37300040;"PISTOLA PARA VACINACAO USO VETERINARIO -"
339;65155432;"PERA PARA ASPIRACAO -"
340;65153090;"MICRONEBULIZADOR -"
341;36990655;"RASPADOR P/EQUIPAMENTOS INDUSTRIA FARMACEUTICA -"
342;25200399;"ACOPLAMENTO USO VEICULAR -"
343;79200354;"CARRINHO DE LIMPEZA -"
344;37750321;"CHAVE DE IGNICAO CORTADOR DE GRAMA, MOTORIZADO -"
345;37750330;"CABECOTE DE ASPIRACAO CORTADOR GRAMA, MOTORIZADO -"
346;51200651;"CHAVE CANHAO -"
347;88200124;"BOVINO LEITEIRO E PARA REPRODUCAO -"
348;37750151;"ALMA PARA EQUIPAMENTOS AGRICOLAS -"
349;36500577;"SECADOR DE CONTAINERS -"
350;42100593;"ABRIGO PARA EXTINTOR DE INCENDIO -"
351;79200362;"CARRINHO PARA COLETA DE LIXO -"
352;58050388;"APARELHO TELEFONICO -"
353;98250116;"THINNER - OBRAS -"
354;98500023;"PRANCHAO - OBRAS -"
355;66400252;"AMIANTO EM FIBRAS PARA LABORATORIO -"
356;75100231;"FITA PARA RELOGIO DE PONTO -"
357;68107919;"ISOBUTILMETILCETONA -"
358;75100061;"TINTA PARA MIMEOGRAFO -"
359;78300207;"ESCORREGADOR -"
360;64981878;"HALOPERIDOL -"
361;73600024;"JOGOS DE TALHERES -"
362;68202342;"TRIOLEINA -"
363;68108451;"OXIDO DE PRATA -"
364;79300430;"DETERGENTE NEUTRO -"
365;65172639;"BLINDAGEM PARA EQUIPAMENTOS MED./HOSP -"
366;95150102;"CHAPA DE ACO INOX -"
367;71100636;"BANCADA PARA SERVICOS AUXILIARES DE ESCRITORIO -"
368;71970053;"PONTEIRA PARA PES DE MOVEIS -"
369;25970100;"PRESILHA DE USO VEICULAR -"
370;36991830;"BASE/SUB-BASE PARA EQUIPAMENTOS IND.FARMACEUTICA -"
371;84600055;"SACOLAS -"
372;78200067;"BARALHO -"
373;47100036;"TUBO NAO METALICO, RIGIDO -"
374;70100160;"RELOGIO INFORMATIZADO, DE PONTO -"
375;39300188;"BENDIX DO MOTOR DE PARTIDA P/VIATURAS MOV.MATERIAL"
376;65150678;"COLAR CERVICAL -"
377;75200031;"LAPISEIRA -"
378;64130231;"CLARITROMICINA -"
379;42400350;"TRIPE PARA AUXILIO EM SALVAMENTO -"
380;42400490;"PARAFUSO ESPECIAL PARA ESCALADA -"
381;66402344;"TAMPA PARA CADINHO DE LABORATORIO -"
382;58200223;"CAMERA DE SEGURANCA (CFTV) -"
383;98200259;"LUVA - OBRAS -"
384;89750039;"SUCO/NECTAR DE FRUTAS -"
385;65151275;"KIT PARA CISTOSTOMIA, DESCARTAVEL -"
386;72200120;"PASSADEIRA PARA PISO -"
387;71050590;"BERCO -"
388;29300282;"COLMEIA PARA RADIADOR, EXCETO AERONAVE -"
389;70451010;"CARBONO TERMICO -"
390;65153669;"BOLSA TERMICA USO HOSPITALAR -"
391;37751450;"PISTAO PARA NEBULIZADOR/ATOMIZADOR/ROCADEIRA -"
392;45100152;"VALVULA DE DESCARGA -"
393;66320399;"ANILHA PARA EQUIPAMENTOS DE ANALISE QUIMICA -"
394;38071355;"HASTE PARA EQUIPAMENTOS DE ESTRADAS -"
395;71050353;"GAVETEIRO -"
396;84050101;"BLUSA MASCULINA -"
397;71350217;"SUPORTE PARA MONITOR -"
398;89650107;"VODKA -"
399;91350018;"ALCOOL COMBUSTIVEL AUTOMOTIVO -"
400;68101031;"SOLUCAO PARA BATERIA -"
401;56600046;"TELA -"
402;37752723;"CINTURAO PARA EQUIPAMENTOS DE UBV -"
403;51200368;"PINCA (FERRAMENTA) -"
404;37752731;"FECHO PARA EQUIPAMENTOS DE UBV -"
405;29900867;"CILINDRO PARA MOTOCICLETA -"
406;71950141;"ESPREGUICADEIRA PARA PISCINA -"
407;71050671;"COMODA -(II)"
408;62100190;"PROJETOR PARA ILUMINACAO-"
409;36100161;"VULCAPEL -"
410;64380017;"N-ACETILCISTEINA -"
411;66401623;"CAMARA DE NEWBAUER -"
412;25310160;"BOMBA DA DIRECAO HIDRAULICA USO VEICULAR -"
