id_programa;ano_exercicio;cd_programa;nome
9480;2000;476;"FORMACAO PARA O EXERCICIO DA CIDADANIA"
9481;2000;474;"ASSISTENCIA JUDICIAL"
9482;2001;476;"FORMACAO PARA O EXERCICIO DA CIDADANIA"
9483;2000;647;"PROTECAO A FLORA E A FAUNA"
9484;1995;13;"ORGANIZACAO AGRARIA"
9485;2001;363;"ASSISTENCIA PREVIDENCIARIA"
9486;2000;603;"APOIO HABITACIONAL"
9487;2001;842;"SANEAMENTO GERAL"
9488;1995;88;"TRANSPORTE RODOVIARIO"
9489;1998;88;"TRANSPORTE RODOVIARIO"
9490;2002;0;"SEM DESCRICAO"
9491;2000;442;"ASSIST.AO ASSOCIATIVISMO, COOPERATIV.E DESENV.COMUNITARIO"
9492;2001;834;"CONSERVACAO DE RODOVIAS"
9493;1995;54;"RECURSOS HIDRICOS"
9494;1995;66;"NORMATIZACAO E FISCALIZACAO DA ATIVIDADE EMPRESARIAL"
9495;1995;17;"PRESERVACAO DE RECURSOS NATURAIS RENOVAVEIS"
9496;1997;57;"HABITACAO"
9497;2001;511;"ENSINO TECNICO EM AGROPECUARIA E COOPERATIVISMO"
9498;1998;62;"INDUSTRIA"
9499;2001;479;"PREVENCAO AO USO DE ENTORPECENTES"
9500;1998;81;"ASSISTENCIA"
9501;1996;8;"ADMINISTRACAO FINANCEIRA"
9502;2000;745;"APOIO CREDITICIO A ATIVIDADE INDUSTRIAL"
9503;2001;212;"APORTE DE CAPITAL"
9504;2000;838;"ESGOTAMENTO SANITARIO"
9505;2000;837;"ABASTECIMENTO D'AGUA"
9506;2000;649;"PRESERVACAO DO MEIO AMBIENTE"
9507;2004;2;"OBRIGACOES ESPECIAIS"
9508;2004;14;"EDIFICACOES PUBLICAS"
9509;2001;803;"GERACAO DE ENERGIA"
9510;2000;741;"PROMOCAO DO DESENVOLVIMENTO INDUSTRIAL"
9511;2001;652;"RECUPERACAO DE BACIAS HIDROGRAFICAS"
9512;2000;512;"DESENVOLVIMENTO DO ENSINO MEDIO"
9513;2001;506;"ATENDIMENTO AOS JOVENS E ADULTOS"
9514;2001;505;"UNIVERSALIZACAO DA EDUCACAO INFANTIL"
9515;2000;810;"DESENVOLVIMENTO MINERAL"
9516;2000;808;"DIVERSIFICACAO DA MATRIZ ENERGETICA ESTADUAL"
9517;2000;807;"REGULACAO E FISCALIZACAO ENERGETICA"
9518;2000;834;"CONSERVACAO DE RODOVIAS"
9519;1997;66;"NORMATIZACAO E FISCALIZACAO DA ATIVIDADE EMPRESARIAL"
9520;1995;63;"COMERCIO"
9521;2001;547;"PROTECAO E PRESERVACAO DO PATRIMONIO CULTURAL"
9522;2001;332;"PROMOCAO DE ASSISTENCIA SOCIAL"
9523;2001;305;"PROMOCAO DE DEFESA CIVIL"
9524;2001;366;"ASSISTENCIA PREVIDENCIARIA E SECURITARIA"
9525;2001;721;"PRODUCAO E DISPONIBILIZACAO DE INFORMACOES AGROPECUARIAS"
9526;2001;720;"ASSISTENCIA TECNICA E EXTENSAO RURAL"
9527;1999;40;"PROGRAMAS INTEGRADOS"
9528;2001;715;"PROGRAMA DE DESENVOLVIMENTO REGIONAL DO JAIBA"
9529;2001;132;"JULGAMENTO ADMINISTRATIVO DE DIREITOS RECLAMADOS"
9530;2000;664;"INFORMACOES TECNOLOGICAS"
9531;2001;762;"PROMOCAO DO DESENVOLVIMENTO DO TURISMO"
9532;2000;480;"ACAO DA OUVIDORIA DA POLICIA"
9533;2001;874;"ADMINISTRACAO DE ESTADIOS"
9534;2001;641;"PROTECAO AMBIENTAL"
9535;1996;22;"TELECOMUNICACOES"
9536;2001;666;"ORDENAMENTO TERRITORIAL"
9537;2000;343;"ASSISTENCIA SOCIAL COMUNITARIA"
9538;2000;768;"PROG.DE ACAO PARA O DESENVOLVIMENTO DO TURISMO EM MINAS GERAIS"
9539;2000;724;"PROGRAMA DE DESENVOLVIMENTO INTEGRADO DO JAIBA - JAIBA I"
9540;1997;16;"ABASTECIMENTO"
9541;2002;1;"APOIO A ADMINISTRACAO PUBLICA"
9542;2001;217;"TREINAMENTO DE RECURSOS HUMANOS"
9543;2000;706;"DEFESA SANITARIA VEGETAL E ANALISE LABORATORIAL"
9544;2000;508;"ATENDIMENTO AO ENSINO SUPERIOR"
9545;2001;508;"ATENDIMENTO AO ENSINO SUPERIOR"
9546;2000;304;"CONTROLE E SEGURANCA DE TRANSITO"
9547;2000;472;"EXERCICIO DA POLICIA JUDICIARIA"
9548;2001;471;"CUSTODIA E ASSISTENCIA A DETENTOS"
9549;2000;711;"FISCALIZACAO DO COMERCIO E DO USO DE AGROTOXICOS"
