id_tempo;id_processo;id_orgao_contrato;id_contrato;id_contratado;id_situacao_cont;ano_particao;vr_homologado;vr_atualizado
36936;115744;96;24808;8792;2;2012;146300,00;146300,00
36497;199011;41;49229;21963;2;2012;192624,30;232705,95
36542;206776;57;16348;15118;4;2012;861,68;861,68
36558;171125;1;389;23791;4;2012;8013,00;8886,00
36496;17240;81;31451;20303;4;2012;5000000,00;5813818,04
36558;21460;96;23098;20111;3;2012;1008912,00;1008912,00
36931;80310;26;6263;1035;4;2012;5200,00;24934,05
36494;147597;11;20550;52258;4;2012;3150,00;3150,00
36515;119908;26;49217;20921;4;2012;1707847,00;1707847,00
36532;68640;55;20552;31915;4;2012;32300,00;68803,32
36531;41042;77;51814;17554;4;2012;206707,32;400765,54
36514;218605;57;24809;19771;4;2012;54864,14;54864,14
36479;72548;82;40787;458;3;2012;43840,00;51435,48
40583;242300;93;24801;19940;2;2010;14951777,40;14951777,40
36517;210575;95;40778;18512;4;2012;15700,00;19200,00
36472;127730;76;30627;21134;4;2012;7197,60;7197,60
36462;190862;95;7113;17211;4;2012;55000,00;55000,00
36558;222699;76;34092;16031;4;2012;97050,10;97050,10
36986;84626;76;31495;21743;4;2012;10080,00;10080,00
36530;230386;36;36621;20290;4;2012;8520,00;10650,00
36539;182901;36;18807;2084;4;2012;100380,00;124590,00
36483;115960;16;35807;11890;4;2012;35800,00;35800,00
37391;60735;95;6304;14219;4;2013;105000,00;105000,00
36924;56580;36;28905;17491;4;2012;3249000,00;3491112,92
36544;100428;76;42541;21479;4;2012;114143,23;116534,54
36474;25447;95;8827;21997;4;2012;39990,00;45940,00
36473;124076;11;38317;22634;4;2012;3330895,00;4163599,10
36506;206777;63;12160;19096;2;2012;2046,40;2046,40
36493;175266;95;45006;20914;4;2012;7050,96;9080,08
36558;167171;16;2130;19590;4;2012;550,00;550,00
36474;206443;1;50897;4865;4;2012;44818,60;56023,25
36507;72770;45;47539;8151;4;2012;38194,44;38194,44
36542;190684;95;34943;16531;4;2012;226788,00;226788,00
36551;40987;57;46703;24923;4;2012;1041,00;1041,00
36551;159524;36;13859;7253;4;2012;29400,00;167790,00
37928;57151;36;51020;21535;2;2013;6000,00;18000,00
