ID_CONVENENTE;TP_DOCUMENTO;NR_DOCUMENTO;NOME;
1847;1;04290751000140;AGENCIA DE DESENVOLVIMENTO INTEGRADO E SUSTENTAVEL DO VALE DO RIO URUCUIA;
2470;1;06022588000160;APAC DE POUSO ALEGRE;
2546;1;06195998000103;APAC DE PARACATU;
3061;1;07899489000124;APAC DE SAO JOAO DEL-REI;
4897;1;18414607000183;PREFEITURA MUNICIPAL DE MEDINA;
7310;1;66229634000129;PREFEITURA MUNICIPAL DE SANTA BARBARA DO LESTE;
2551;1;06199788000193;APAC DE VICOSA;
2052;1;04926925000119;APAC DE ALFENAS;
2909;1;07625655000102;APAC MANHUACU;
3173;1;08112569000150;APAC DE SALINAS;
4547;1;18025957000158;PREFEITURA MUNICIPAL DE MARIA DA FE;
4932;1;18495812000110;PREFEITURA MUNICIPAL DE JOAIMA;
5783;1;20928032000169;APAC DE ITAUNA;
6245;1;21835111000198;BELOTUR  -  EMPRESA MUNICIPAL DE TURISMO DE BELO HORIZONTE S/A;
2145;1;05125426000195;APAC  DA REGIAO METROPOLINA DE BELO HORIZONTE;
2751;1;07259234000105;APAC DE CAMPO BELO;
3263;1;08358883000118;APAC DE JANUARIA;
725;1;01528418000139;FRATERNIDADE BRASILEIRA DE ASSISTENCIA AOS CONDENADOS;
2591;1;06289008000104;APAC DE SANTA MARIA DO SUACUI;
2152;1;05134204000139;APAC  DE SANTA BARBARA;
2812;1;07409988000196;APAC DE FRUTAL;
2839;1;07472312000147;APAC DE LAGOA DA PRATA;
3499;1;09162734000141;APAC DE TIMOTEO;
6540;1;23370836000183;APAC DE ARAXA;
1669;1;03672339000122;APAC DE PASSOS;
2643;1;06931578000148;APAC DE INHAPIM;
4404;1;17749904000117;PREFEITURA MUNICIPAL DE SAO TIAGO;
773;1;01612486000181;PREFEITURA MUNICIPAL DE SAO JOAO DAS MISSOES;
3229;1;08265593000120;APAC DE CANAPOLIS;
2936;1;07677802000180;APAC DE PIRAPORA;
3011;1;07828198000145;APAC DE GOVERNADOR VALADARES;
2647;1;06947893000163;APAC DE TEOFILO OTONI;
3346;1;08669795000137;APAC  DE ITUIUTABA;
4514;1;17963083000117;PREFEITURA MUNICIPAL DE ARACUAI;
4542;1;18025890000151;PREFEITURA MUNICIPAL DE BRAZOPOLIS;
4560;1;18051524000177;PREFEITURA MUNICIPAL DE FRANCISCO BADARO;
7130;1;26218636000106;PREFEITURA MUNICIPAL DE CATUJI;
1961;1;04698279000180;APAC DE SETE LAGOAS;
2149;1;05131480000143;APAC DE ARCOS;
2297;1;05501573000112;APAC DE NOVA LIMA;
3565;1;09420397000145;APAC DE RIO PIRACICABA;
3743;1;10867575000160;APAC DE PEDRA AZUL;
2433;1;05890676000111;APAC DE CONSELHEIRO LAFAIETE;
2518;1;06118334000140;APAC DE PERDOES;
2558;1;06222022000182;CENTRO DE ARTESANATO MINEIRO - CEART;
4009;1;13570749000116;APAC DE PATOS DE MINAS;
3387;1;08773437000170;APAC DE CARATINGA;
4265;1;17217985000104;UNIVERSIDADE FEDERAL DE MINAS GERAIS;
4865;1;18402552000191;PREFEITURA MUNICIPAL DE SAO JOSE DO GOIABAL;
5991;1;21325027000124;APAC  FEMININA DE SAO JOAO DEL REI;
