ID_CONVENIO;FL_VERSAO;SQE_CONVENIO;NR_SIAFI;NR_SIGCON;NR_PLANO_SIGCON;NOME;DT_PUBLICACAO;DT_VIGENCIA_INICIAL;DT_VIGENCIA_ATUAL;TP_PESSOA_BENEFICIADA;QT_PESSOA_BENEFICIADA;VR_CONCEDE_PUBLIC;VR_EMEN_PARL_PUBLIC;VR_INTERV_PUBLIC;VR_CONTRA_PUBLIC;VR_RENDIMENTOS;VR_TOTAL_PUBLIC;
38265;2;31818;9130901;1451000005/2017;000028/2017;TERMO DE COLABORACAO COM A FBAC;21/02/2017;21/02/2017;28/11/2018;POPULACAO;2513451;2660960.42;0;0;0;0;2660960.42;
39346;2;31805;9130884;1451000016/2017;000022/2017;TERMO DE COLABORACAO COM A APAC DE ARAXA;21/02/2017;21/02/2017;28/02/2019;INDIVIDUOS PRIVADOS DE LIBERDADE / EGRESSOS DO SISTEMA PRISIONAL;120;2383160.58;0;0;0;0;2383160.58;
39342;2;31810;9130890;1451000024/2017;000029/2017;TERMO DE COLABORACAO COM A APAC SANTA MARIA DO SUACUI;21/02/2017;21/02/2017;28/02/2019;INDIVIDUOS PRIVADOS DE LIBERDADE / EGRESSOS DO SISTEMA PRISIONAL;50;1519586.92;0;0;0;0;1519586.92;
39338;2;31814;9130896;1451000012/2017;000014/2017;TERMO DE COLABORACAO COM A APAC CAMPO BELO;21/02/2017;21/02/2017;28/02/2019;INDIVIDUOS PRIVADOS DE LIBERDADE / EGRESSOS DO SISTEMA PRISIONAL;80;1707542.68;0;0;0;0;1707542.68;
39336;2;31816;9130898;1451000014/2017;000010/2017;TERMO DE COLABORACAO COM A APAC DE VICOSA;21/02/2017;21/02/2017;28/02/2019;INDIVIDUOS PRIVADOS DE LIBERDADE / EGRESSOS DO SISTEMA PRISIONAL;44;1297284.8;0;0;0;0;1297284.8;
39333;2;31820;9130904;1451000007/2017;000011/2017;TERMO DE COLABORACAO COM A APAC DE PIRAPORA;21/02/2017;21/02/2017;28/02/2019;INDIVIDUOS PRIVADOS DE LIBERDADE / EGRESSOS DO SISTEMA PRISIONAL;100;2488674.44;0;0;0;0;2488674.44;
39046;2;32839;9143962;1411000056/2017;000065/2017;REALIZACAO DO CONCURSO ESTADUAL DE QUADRILHAS 2017 PROMOVENDO OS FESTEJOS JUNINOS COMO PRODUTOS TURISTICOS DE BELO HORIZONTE DE MINAS GERAIS.;23/06/2017;23/06/2017;21/09/2017;PESSOAS;10000;0;154980.37;0;17220.04;0;172200.41;
38916;2;32537;9143400;1491000044/2017;000051/2017;PAVIMENTACAO DE VIAS URBANAS.;20/05/2017;20/05/2017;20/05/2019;POPULACAO;15000;0;400000;0;5476.41;0;405476.41;
38264;2;31807;9130887;1451000019/2017;000009/2017;TERMO DE COLABORACAO COM A APAC DE TIMOTEO;21/02/2017;21/02/2017;23/12/2018;INDIVIDUOS PRIVADOS DE LIBERDADE / EGRESSOS DO SISTEMA PRISIONAL;40;1038336.76;0;0;0;0;1038336.76;
39344;2;31808;9130888;1451000022/2017;000020/2017;TERMO DE COLABORACAO COM A APAC DE SANTA LUZIA;21/02/2017;21/02/2017;28/02/2019;INDIVIDUOS PRIVADOS DE LIBERDADE / EGRESSOS DO SISTEMA PRISIONAL;180;4431671.24;0;0;0;0;4431671.24;
