ID_MUNICIPIO;CD_MUNICIPIO_IBGE;NOME;
665;3157252;SANTA BÁRBARA DO LESTE;
662;3157005;SALINAS;
305;3127107;FRUTAL;
560;3147907;PASSOS;
552;3147006;PARACATU;
746;3163409;SÃO JOSÉ DO GOIABAL;
807;3168705;TIMÓTEO;
383;3133808;ITAÚNA;
409;3136009;JOAIMA;
147;3113404;CARATINGA;
95;3108909;BRASÓPOLIS;
600;3151206;PIRAPORA;
37;3103405;ARAÇUAÍ;
790;3167202;SETE LAGOAS;
46;3104205;ARCOS;
664;3157203;SANTA BÁRBARA;
425;3137205;LAGOA DA PRATA;
764;3165008;SÃO TIAGO;
569;3148707;PEDRA AZUL;
459;3139904;MARIA DA FÉ;
583;3149903;PERDÕES;
44;3104007;ARAXÁ;
520;3144805;NOVA LIMA;
295;3126505;FRANCISCO BADARÓ;
16;3101607;ALFENAS;
399;3135209;JANUÁRIA;
679;3158201;SANTA MARIA DO SUAÇUÍ;
123;3111200;CAMPO BELO;
845;3171303;VIÇOSA;
352;3130903;INHAPIM;
130;3111804;CANÁPOLIS;
648;3155702;RIO PIRACICABA;
675;3157807;SANTA LUZIA;
203;3118304;CONSELHEIRO LAFAIETE;
454;3139409;MANHUAÇU;
66;3106200;BELO HORIZONTE;
730;3162450;SÃO JOÃO DAS MISSÕES;
731;3162500;SÃO JOÃO DEL REI;
387;3134202;ITUIUTABA;
562;3148004;PATOS DE MINAS;
479;3141405;MEDINA;
615;3152501;POUSO ALEGRE;
315;3127701;GOVERNADOR VALADARES;
806;3168606;TEÓFILO OTONI;
50;3104502;ARINOS;
169;3115458;CATUJI;
