ID_TEMPO;DATA_ISO;DIA;MES;ANO;DATA_FORMATADA;
36118;20170222;22;2;2017;22/02/2017;
36584;20170622;22;6;2017;22/06/2017;
36585;20170623;23;6;2017;23/06/2017;
36121;20170225;25;2;2017;25/02/2017;
36117;20170221;21;2;2017;21/02/2017;
36120;20170224;24;2;2017;24/02/2017;
42990;20170126;26;1;2017;26/01/2017;
36173;20170418;18;4;2017;18/04/2017;
36224;20170608;8;6;2017;08/06/2017;
36205;20170520;20;5;2017;20/05/2017;
36226;20170610;10;6;2017;10/06/2017;
43011;20170216;16;2;2017;16/02/2017;
36119;20170223;23;2;2017;23/02/2017;
36176;20170421;21;4;2017;21/04/2017;
36209;20170524;24;5;2017;24/05/2017;
