MUNICIPIO_RESIDENCIA;URS;MICRO;MACRO;CodigoIBGE;Data;Total acumulado de vacinas aplicadas no grupo INDÍGENAS ALDEADOS (APENAS PRIMEIRA DOSE - D1);Total acumulado de vacinas aplicadas no grupo INDÍGENAS ALDEADOS (SEGUNDA DOSE - D2);Total acumulado de vacinas aplicadas no grupo IDOSOS EM ILPI (APENAS PRIMEIRA DOSE - D1);Total acumulado de vacinas aplicadas no grupo IDOSOS EM ILPI (SEGUNDA DOSE - D2);Total acumulado de vacinas aplicadas no grupo PESSOAS COM DEFICIÊNCIA EM RESIDÊNCIAS INCLUSIVAS (APENAS PRIMEIRA DOSE - D1);Total acumulado de vacinas aplicadas no grupo PESSOAS COM DEFICIÊNCIA EM RESIDÊNCIAS INCLUSIVAS (SEGUNDA DOSE - D2);Total acumulado de vacinas aplicadas no grupo PROFISSIONAIS DE SAÚDE (APENAS PRIMEIRA DOSE - D1);Total acumulado de vacinas aplicadas no grupo PROFISSIONAIS DE SAÚDE (SEGUNDA DOSE - D2)
Abadia dos Dourados;Uberlândia;PATROCÍNIO/MONTE CARMELO;TRIÂNGULO DO NORTE;310010;25/01/2021;0;0;0;0;0;0;0;0
Abaeté;Sete Lagoas;SETE LAGOAS;CENTRO;310020;25/01/2021;0;0;0;0;0;0;0;0
Abre Campo;Manhuaçu;MANHUAÇU;LESTE DO SUL;310030;25/01/2021;0;0;0;0;0;0;69;0
Acaiaca;Ponte Nova;PONTE NOVA;LESTE DO SUL;310040;25/01/2021;0;0;0;0;0;0;0;0
Açucena;Coronel Fabriciano;IPATINGA;VALE DO AÇO;310050;25/01/2021;0;0;0;0;0;0;0;0
Água Boa;Governador Valadares;SANTA MARIA DO SUAÇUÍ;LESTE;310060;25/01/2021;0;0;0;0;0;0;20;0
Água Comprida;Uberaba;UBERABA;TRIÂNGULO DO SUL;310070;25/01/2021;0;0;0;0;0;0;0;0
Aguanil;Divinópolis;CAMPO BELO;OESTE;310080;25/01/2021;0;0;0;0;0;0;0;0
Águas Formosas;Teófilo Otoni;ÁGUAS FORMOSAS;NORDESTE;310090;25/01/2021;0;0;0;0;0;0;0;0
Águas Vermelhas;Pedra Azul;PEDRA AZUL;NORDESTE;310100;25/01/2021;0;0;0;0;0;0;26;0
Aimorés;Governador Valadares;RESPLENDOR;LESTE;310110;25/01/2021;0;0;0;0;0;0;167;0
Aiuruoca;Varginha;SÃO LOURENÇO;SUL;310120;25/01/2021;0;0;0;0;0;0;0;0
Alagoa;Varginha;SÃO LOURENÇO;SUL;310130;25/01/2021;0;0;0;0;0;0;0;0
Albertina;Pouso Alegre;POÇOS DE CALDAS;SUL;310140;25/01/2021;7;0;0;0;0;0;7;0
Além Paraíba;Leopoldina;ALÉM PARAÍBA;SUDESTE;310150;25/01/2021;0;0;0;0;0;0;0;0
Alfenas;Alfenas;ALFENAS/MACHADO;SUL;310160;25/01/2021;0;0;0;0;0;0;714;0
Alfredo Vasconcelos;Barbacena;BARBACENA;CENTRO SUL;310163;25/01/2021;0;0;0;0;0;0;11;0
Almenara;Pedra Azul;ALMENARA/JACINTO;NORDESTE;310170;25/01/2021;0;0;0;0;0;0;0;0
Alpercata;Governador Valadares;GOVERNADOR VALADARES;LESTE;310180;25/01/2021;0;0;0;0;0;0;17;0
Alpinópolis;Passos;PASSOS;SUL;310190;25/01/2021;0;0;0;0;0;0;0;0
Alterosa;Alfenas;ALFENAS/MACHADO;SUL;310200;25/01/2021;0;0;45;0;24;0;64;0
Alto Caparaó;Manhuaçu;MANHUAÇU;LESTE DO SUL;310205;25/01/2021;0;0;12;12;0;0;12;12
Alto Rio Doce;Barbacena;BARBACENA;CENTRO SUL;310210;25/01/2021;0;0;0;0;0;0;33;0
Alvarenga;Governador Valadares;RESPLENDOR;LESTE;310220;25/01/2021;0;0;0;0;0;0;0;0
Alvinópolis;Ponte Nova;PONTE NOVA;LESTE DO SUL;310230;25/01/2021;0;0;23;0;0;0;25;0
Alvorada de Minas;Diamantina;SERRO;JEQUITINHONHA;310240;25/01/2021;0;0;0;0;0;0;17;0
